,structures,Etot (eV/atom),Etot (eV),Emix (eV/atom),Eform (eV/atom),Ms (emu/g),Ms (mub/atom),mb (mub/cell),rmsd (\AA),V0 (A3/atom),phase
319,Fe36Ni31Co31Cr31Mn31_sqsfcc,-7.78263,-1245.2204,-0.05135,0.07655,61.72,0.619,99.11,0.0585,11.09,fcc
320,Fe28Ni33Co33Cr33Mn33_sqsfcc,-7.76207,-1241.9308,-0.05348,0.07272,49.84,0.5,80.06,0.0578,11.1,fcc
321,Fe24Ni24Co24Cr24Mn64_sqsfcc,-8.03709,-1285.934,-0.01894,0.09442,48.11,0.481,76.88,0.0598,11.07,fcc
322,Fe64Ni24Co24Cr24Mn24_sqsfcc,-7.86447,-1258.3144,-0.05374,0.08006,87.57,0.878,140.5,0.0575,11.15,fcc
323,Fe24Ni64Co24Cr24Mn24_sqsfcc,-7.2145,-1154.3206,-0.05745,0.03784,77.54,0.787,125.99,0.0563,11.25,fcc
324,Fe24Ni24Co64Cr24Mn24_sqsfcc,-7.57402,-1211.8437,-0.02962,0.07019,91.55,0.931,148.9,0.0539,11.09,fcc
325,Fe24Ni24Co24Cr64Mn24_sqsfcc,-8.1431,-1302.8956,-0.07376,0.11921,27.52,0.271,43.39,0.0849,11.1,fcc
326,FeNiCoCrPd_sqsfcc,-7.01224,-1121.9591,-0.03128,0.0813,65.58,0.779,124.67,0.1067,12.2,fcc
327,Fe31Ni31Co31Cr36Pd31_sqsfcc,-7.08414,-1133.4621,-0.03641,0.08487,53.6,0.633,101.2,0.1067,12.21,fcc
328,Fe31Ni31Co31Cr31Pd36_sqsfcc,-6.95113,-1112.1806,-0.02526,0.08381,66.08,0.8,127.98,0.1063,12.35,fcc
329,Fe31Ni36Co31Cr31Pd31_sqsfcc,-6.95629,-1113.0068,-0.0226,0.08647,66.98,0.793,126.86,0.1181,12.2,fcc
330,Fe31Ni31Co36Cr31Pd31_sqsfcc,-7.00244,-1120.3904,-0.23964,0.08931,67.66,0.801,128.17,0.1081,12.18,fcc
331,Fe36Ni31Co31Cr31Pd31_sqsfcc,-7.05723,-1129.1566,-0.04183,0.07206,63.31,0.748,119.75,0.1162,12.22,fcc
332,Fe24Ni24Co24Cr24Pd64_sqsfcc,-6.57523,-1052.0373,-0.03503,0.04941,53.84,0.736,117.79,0.1143,13.22,fcc
